2026-04-14 19:30:26.544 -03 [6728] LOG:  iniciando PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35219, 64-bit
2026-04-14 19:55:40.748 -03 [11520] LOG:  checkpoint complete: wrote 10 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.106 s, sync=0.008 s, total=1.123 s; sync files=9, longest=0.002 s, average=0.001 s; distance=8 kB, estimate=5656 kB; lsn=0/1EC57A0, redo lsn=0/1EC5710
2026-04-14 20:00:39.751 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:00:40.211 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.442 s, sync=0.007 s, total=0.460 s; sync files=5, longest=0.004 s, average=0.002 s; distance=17 kB, estimate=5092 kB; lsn=0/1EC9D88, redo lsn=0/1EC9D30
2026-04-14 20:05:39.213 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:05:44.936 -03 [11520] LOG:  checkpoint complete: wrote 52 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.692 s, sync=0.023 s, total=5.723 s; sync files=38, longest=0.002 s, average=0.001 s; distance=29 kB, estimate=4586 kB; lsn=0/1ED4760, redo lsn=0/1ED1458
2026-04-14 20:10:39.943 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:10:46.110 -03 [11520] LOG:  checkpoint complete: wrote 56 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.134 s, sync=0.026 s, total=6.167 s; sync files=53, longest=0.001 s, average=0.001 s; distance=96 kB, estimate=4137 kB; lsn=0/1EE9798, redo lsn=0/1EE9740
2026-04-14 20:15:39.121 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:15:42.766 -03 [11520] LOG:  checkpoint complete: wrote 33 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=3.618 s, sync=0.021 s, total=3.645 s; sync files=25, longest=0.002 s, average=0.001 s; distance=17 kB, estimate=3725 kB; lsn=0/1EEDD80, redo lsn=0/1EEDCF0
2026-04-14 20:19:47.534 -03 [19388] ERRO:  sequência de bytes é inválida para codificação "UTF8": 0xff
2026-04-14 20:19:47.534 -03 [19388] CONTEXTO:  parâmetro de portal sem nome $8
2026-04-14 20:19:47.534 -03 [19388] COMANDO:  insert into "ticket_attachments" ("ticket_id", "uploaded_by_id", "disk", "path", "original_name", "mime_type", "size", "content", "updated_at", "created_at") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10) returning "id"
2026-04-14 20:20:39.768 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:20:48.226 -03 [11520] LOG:  checkpoint complete: wrote 77 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=8.418 s, sync=0.031 s, total=8.458 s; sync files=58, longest=0.002 s, average=0.001 s; distance=105 kB, estimate=3363 kB; lsn=0/1F08338, redo lsn=0/1F082A8
2026-04-14 20:25:39.236 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:25:44.662 -03 [11520] LOG:  checkpoint complete: wrote 51 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.397 s, sync=0.023 s, total=5.427 s; sync files=48, longest=0.001 s, average=0.001 s; distance=87 kB, estimate=3035 kB; lsn=0/1F1E138, redo lsn=0/1F1E0E0
2026-04-14 20:30:39.674 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:30:40.560 -03 [11520] LOG:  checkpoint complete: wrote 8 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.870 s, sync=0.008 s, total=0.886 s; sync files=9, longest=0.002 s, average=0.001 s; distance=45 kB, estimate=2736 kB; lsn=0/1F297C0, redo lsn=0/1F29768
2026-04-14 20:35:39.569 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:35:40.299 -03 [11520] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.555 s, sync=0.052 s, total=0.730 s; sync files=6, longest=0.013 s, average=0.009 s; distance=20 kB, estimate=2465 kB; lsn=0/1F2EA20, redo lsn=0/1F2E9C8
2026-04-14 20:45:39.322 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:45:40.956 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.595 s, sync=0.851 s, total=1.635 s; sync files=5, longest=0.404 s, average=0.171 s; distance=13 kB, estimate=2219 kB; lsn=0/1F31E78, redo lsn=0/1F31E20
2026-04-14 20:55:39.969 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 20:55:40.423 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.434 s, sync=0.014 s, total=0.455 s; sync files=5, longest=0.008 s, average=0.003 s; distance=10 kB, estimate=1998 kB; lsn=0/1F34750, redo lsn=0/1F346F8
2026-04-14 20:56:40.485 -03 [16268] ERRO:  relação "knowledge_base_articles" não existe no caractere 35
2026-04-14 20:56:40.485 -03 [16268] COMANDO:  select count(*) as aggregate from "knowledge_base_articles" where "is_active" = $1 and ("visibility" = $2 or ("visibility" = $3 and "sector_id" in ($4, $5, $6))) and "knowledge_base_articles"."deleted_at" is null
2026-04-14 21:00:39.428 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:00:46.590 -03 [11520] LOG:  checkpoint complete: wrote 65 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.122 s, sync=0.032 s, total=7.162 s; sync files=52, longest=0.002 s, average=0.001 s; distance=322 kB, estimate=1831 kB; lsn=0/1F85258, redo lsn=0/1F851C8
2026-04-14 21:05:17.989 -03 [20172] ERRO:  relação "assets" não existe no caractere 35
2026-04-14 21:05:17.989 -03 [20172] COMANDO:  select count(*) as aggregate from "assets"
2026-04-14 21:05:39.596 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:05:40.041 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.433 s, sync=0.006 s, total=0.445 s; sync files=5, longest=0.002 s, average=0.002 s; distance=11 kB, estimate=1649 kB; lsn=0/1F87E60, redo lsn=0/1F87E08
2026-04-14 21:10:39.071 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:10:53.424 -03 [11520] LOG:  checkpoint complete: wrote 89 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.809 s, sync=4.538 s, total=14.353 s; sync files=81, longest=4.395 s, average=0.057 s; distance=409 kB, estimate=1525 kB; lsn=0/1FF1468, redo lsn=0/1FEE320
2026-04-14 21:15:39.440 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:15:43.714 -03 [11520] LOG:  checkpoint complete: wrote 39 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=4.254 s, sync=0.008 s, total=4.275 s; sync files=14, longest=0.001 s, average=0.001 s; distance=259 kB, estimate=1398 kB; lsn=0/202F1D8, redo lsn=0/202F180
2026-04-14 21:20:39.730 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:20:41.854 -03 [11520] LOG:  checkpoint complete: wrote 8 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.051 s, sync=0.359 s, total=2.124 s; sync files=9, longest=0.232 s, average=0.040 s; distance=26 kB, estimate=1261 kB; lsn=0/2035CC8, redo lsn=0/2035C70
2026-04-14 21:25:39.863 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:25:40.854 -03 [11520] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.977 s, sync=0.009 s, total=0.992 s; sync files=8, longest=0.002 s, average=0.002 s; distance=53 kB, estimate=1140 kB; lsn=0/2043218, redo lsn=0/20431C0
2026-04-14 21:35:39.869 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:35:40.429 -03 [11520] LOG:  checkpoint complete: wrote 5 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.547 s, sync=0.006 s, total=0.560 s; sync files=6, longest=0.002 s, average=0.001 s; distance=6 kB, estimate=1027 kB; lsn=0/2044AA0, redo lsn=0/2044A48
2026-04-14 21:40:39.436 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:40:40.213 -03 [11520] LOG:  checkpoint complete: wrote 7 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.763 s, sync=0.006 s, total=0.777 s; sync files=8, longest=0.002 s, average=0.001 s; distance=13 kB, estimate=925 kB; lsn=0/2047EA8, redo lsn=0/2047E50
2026-04-14 21:45:39.227 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:45:39.669 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.429 s, sync=0.005 s, total=0.442 s; sync files=5, longest=0.002 s, average=0.001 s; distance=11 kB, estimate=834 kB; lsn=0/204AE18, redo lsn=0/204ADC0
2026-04-14 21:50:39.678 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:50:46.100 -03 [11520] LOG:  checkpoint complete: wrote 55 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.039 s, sync=0.371 s, total=6.422 s; sync files=49, longest=0.042 s, average=0.008 s; distance=254 kB, estimate=776 kB; lsn=0/208A840, redo lsn=0/208A7E8
2026-04-14 21:55:39.116 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 21:55:39.587 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.460 s, sync=0.004 s, total=0.471 s; sync files=5, longest=0.002 s, average=0.001 s; distance=13 kB, estimate=700 kB; lsn=0/208DD40, redo lsn=0/208DCE8
2026-04-14 22:00:39.601 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:00:43.990 -03 [11520] LOG:  checkpoint complete: wrote 40 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.367 s, sync=0.018 s, total=4.390 s; sync files=33, longest=0.001 s, average=0.001 s; distance=166 kB, estimate=646 kB; lsn=0/20B7728, redo lsn=0/20B7698
2026-04-14 22:05:40.006 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:05:40.787 -03 [11520] LOG:  checkpoint complete: wrote 7 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.765 s, sync=0.009 s, total=0.781 s; sync files=8, longest=0.002 s, average=0.002 s; distance=19 kB, estimate=584 kB; lsn=0/20BC450, redo lsn=0/20BC3F8
2026-04-14 22:10:40.795 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:10:41.456 -03 [11520] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.650 s, sync=0.007 s, total=0.662 s; sync files=7, longest=0.002 s, average=0.001 s; distance=38 kB, estimate=529 kB; lsn=0/20C5DC0, redo lsn=0/20C5D68
2026-04-14 22:15:40.468 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:15:41.460 -03 [11520] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.981 s, sync=0.005 s, total=0.994 s; sync files=8, longest=0.001 s, average=0.001 s; distance=59 kB, estimate=482 kB; lsn=0/20D4B20, redo lsn=0/20D4A90
2026-04-14 22:20:40.473 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:20:41.794 -03 [11520] LOG:  checkpoint complete: wrote 12 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.306 s, sync=0.010 s, total=1.321 s; sync files=13, longest=0.002 s, average=0.001 s; distance=36 kB, estimate=437 kB; lsn=0/20DDC58, redo lsn=0/20DDC00
2026-04-14 22:40:40.831 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:40:41.299 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.430 s, sync=0.033 s, total=0.469 s; sync files=5, longest=0.030 s, average=0.007 s; distance=10 kB, estimate=395 kB; lsn=0/20E0698, redo lsn=0/20E0640
2026-04-14 22:45:40.304 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:45:44.272 -03 [11520] LOG:  checkpoint complete: wrote 24 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.825 s, sync=1.088 s, total=3.969 s; sync files=25, longest=0.245 s, average=0.044 s; distance=66 kB, estimate=362 kB; lsn=0/20F3110, redo lsn=0/20F10C8
2026-04-14 22:50:40.284 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:50:43.476 -03 [11520] LOG:  checkpoint complete: wrote 29 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=3.164 s, sync=0.020 s, total=3.192 s; sync files=28, longest=0.002 s, average=0.001 s; distance=57 kB, estimate=331 kB; lsn=0/20FF650, redo lsn=0/20FF5F8
2026-04-14 22:55:40.486 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 22:55:47.893 -03 [11520] LOG:  checkpoint complete: wrote 66 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.370 s, sync=0.032 s, total=7.408 s; sync files=49, longest=0.003 s, average=0.001 s; distance=127 kB, estimate=311 kB; lsn=0/211F5A0, redo lsn=0/211F548
2026-04-14 23:00:40.898 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:00:42.119 -03 [11520] LOG:  checkpoint complete: wrote 11 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.200 s, sync=0.013 s, total=1.221 s; sync files=10, longest=0.004 s, average=0.002 s; distance=61 kB, estimate=286 kB; lsn=0/212ED58, redo lsn=0/212ED00
2026-04-14 23:05:40.128 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:05:42.762 -03 [11520] LOG:  checkpoint complete: wrote 24 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.613 s, sync=0.014 s, total=2.634 s; sync files=24, longest=0.002 s, average=0.001 s; distance=64 kB, estimate=264 kB; lsn=0/213EE88, redo lsn=0/213EE30
2026-04-14 23:29:03.123 -03 [13820] ERRO:  relação "ticket_time_entries" não existe no caractere 15
2026-04-14 23:29:03.123 -03 [13820] COMANDO:  select * from "ticket_time_entries" where "ticket_time_entries"."ticket_id" in (4) and "ticket_time_entries"."deleted_at" is null order by "started_at" desc, "started_at" desc
2026-04-14 23:30:40.793 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:30:44.977 -03 [11520] LOG:  checkpoint complete: wrote 38 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.150 s, sync=0.028 s, total=4.185 s; sync files=38, longest=0.003 s, average=0.001 s; distance=60 kB, estimate=243 kB; lsn=0/214DF88, redo lsn=0/214DF30
2026-04-14 23:35:40.981 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:35:48.358 -03 [11520] LOG:  checkpoint complete: wrote 67 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.337 s, sync=0.033 s, total=7.378 s; sync files=55, longest=0.002 s, average=0.001 s; distance=328 kB, estimate=328 kB; lsn=0/21A8B38, redo lsn=0/21A0158
2026-04-14 23:36:30.571 -03 [2740] ERRO:  sintaxe de entrada é inválida para tipo integer: "45.56508"
2026-04-14 23:36:30.571 -03 [2740] CONTEXTO:  parâmetro de portal sem nome $2 = '...'
2026-04-14 23:36:30.571 -03 [2740] COMANDO:  update "ticket_time_entries" set "ended_at" = $1, "duration_seconds" = $2, "updated_at" = $3 where "id" = $4
2026-04-14 23:36:30.571 -03 [2740] ERRO:  transação atual foi interrompida, comandos ignorados até o fim do bloco de transação
2026-04-14 23:36:30.571 -03 [2740] COMANDO:  DEALLOCATE pdo_stmt_0000000a
2026-04-14 23:40:40.369 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:40:43.238 -03 [11520] LOG:  checkpoint complete: wrote 26 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.850 s, sync=0.013 s, total=2.869 s; sync files=21, longest=0.002 s, average=0.001 s; distance=85 kB, estimate=304 kB; lsn=0/21B57E0, redo lsn=0/21B5750
2026-04-14 23:45:40.247 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:45:45.378 -03 [11520] LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.697 s, sync=0.038 s, total=5.131 s; sync files=22, longest=0.004 s, average=0.002 s; distance=90 kB, estimate=282 kB; lsn=0/21CCBD8, redo lsn=0/21CBFB8
2026-04-14 23:50:40.380 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:50:41.046 -03 [11520] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.654 s, sync=0.006 s, total=0.667 s; sync files=7, longest=0.002 s, average=0.001 s; distance=38 kB, estimate=258 kB; lsn=0/21D5980, redo lsn=0/21D58F0
2026-04-14 23:55:40.054 -03 [11520] LOG:  checkpoint starting: time
2026-04-14 23:55:40.498 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.432 s, sync=0.005 s, total=0.445 s; sync files=5, longest=0.002 s, average=0.001 s; distance=12 kB, estimate=233 kB; lsn=0/21D8960, redo lsn=0/21D8908
2026-04-15 00:00:40.513 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:00:45.130 -03 [11520] LOG:  checkpoint complete: wrote 42 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.587 s, sync=0.024 s, total=4.618 s; sync files=41, longest=0.001 s, average=0.001 s; distance=102 kB, estimate=220 kB; lsn=0/21F61F0, redo lsn=0/21F24D0
2026-04-15 00:05:40.148 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:05:41.399 -03 [11520] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.670 s, sync=0.513 s, total=1.251 s; sync files=6, longest=0.267 s, average=0.086 s; distance=20 kB, estimate=200 kB; lsn=0/21F7918, redo lsn=0/21F78C0
2026-04-15 00:10:40.403 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:10:40.910 -03 [11520] LOG:  checkpoint complete: wrote 4 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.434 s, sync=0.068 s, total=0.508 s; sync files=5, longest=0.058 s, average=0.014 s; distance=17 kB, estimate=182 kB; lsn=0/21FBD90, redo lsn=0/21FBD38
2026-04-15 00:30:40.952 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:30:41.947 -03 [11520] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.982 s, sync=0.006 s, total=0.996 s; sync files=8, longest=0.001 s, average=0.001 s; distance=65 kB, estimate=170 kB; lsn=0/220C338, redo lsn=0/220C2E0
2026-04-15 00:35:40.955 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:35:41.635 -03 [11520] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.663 s, sync=0.007 s, total=0.680 s; sync files=7, longest=0.002 s, average=0.001 s; distance=46 kB, estimate=158 kB; lsn=0/2217F20, redo lsn=0/2217EC8
2026-04-15 00:40:40.646 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:40:41.312 -03 [11520] LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.654 s, sync=0.005 s, total=0.667 s; sync files=7, longest=0.002 s, average=0.001 s; distance=39 kB, estimate=146 kB; lsn=0/2221B90, redo lsn=0/2221B38
2026-04-15 00:45:40.324 -03 [11520] LOG:  checkpoint starting: time
2026-04-15 00:45:41.313 -03 [11520] LOG:  checkpoint complete: wrote 9 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.975 s, sync=0.006 s, total=0.989 s; sync files=8, longest=0.002 s, average=0.001 s; distance=62 kB, estimate=138 kB; lsn=0/2231768, redo lsn=0/2231710
